Title,Alternate title,Genre,Primary Source Verification,Notes,Production Company,Production date,Distribution date,Length (reels),Actors,Directors,Producers,Camerawork,Attachments,Source,Writer,Otherwise Involved,Link to media,Distributor
The Gunsaulus Mystery,"Circumstantial Evidence, The Gonzales Mystery, The Gonzalas Mystery",Drama,,"Full cast list from  Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MPSee also GPJ Collection, Box 17, Gunsaulus Mystery folder. --MP",Micheaux Film Corporation,1/1/21,1/1/21,7,"Preer,Chenault,Wilkes,Abrams,De Bulger,Bearden,Williams,Brown,Watts,Tatum,Young,Christian,Sindle,Russell,Kroll",Micheaux,Micheaux,,,"Redefining Black Film,Oscar Micheaux and His Circle,George P. Johnson Negro Film Collection",Micheaux,,,
The Haunted House,,,,,Lubin Manufacturing Company,1/1/15,,,"Edwards,Edwards,Roseborough",Lubin,Lubin,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Heart of A Negro,,,,"Announced, but never produced.",Lincoln Motion Picture Company,1/1/23,,,,,,Gant,,Richard E. Norman and Race Filmmaking,,,,
The Homesteader,,Drama,,"Cast list and lenggth from Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",Micheaux Film Corporation,1/1/18,1/1/19,8,"Lucas,Hall,Moore,Preer,Smith,Duncan,Wood,George",Micheaux,Micheaux,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,Oscar Micheaux and His Circle",Micheaux,,,
The House Behind the Cedars,,Drama,,,Micheaux Film Corporation,1/1/22,1/1/25,9,"Howard,Bishop,Chenault",Micheaux,Micheaux,,,"Slow Fade to Black,Oscar Micheaux and His Circle",Micheaux,,,
The Janitor,,,,All members of the cast are members of the George M. Lewis Stock Company,"Ebony Film Corporation,George M. Lewis Stock Compay",1/1/18,,2,"Robinson,Jacques,Junior,Starks,Watson,Skekeeter,Price,Lewin,Moralis,Whitely,Brogsdale,Pollard,Jacks,Duree",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company
The Jazz Hounds,,Comedy,,,Reol Productions Corporation,1/1/21,1/1/21,2,Morton,,,,"""""""The jazz hounds"""" - NYPL Digital Collections.pdf (https://dl.airtable.com/ziKln1SZqCvoSK5amRnA_%22The%20jazz%20hounds%22%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The jazz hounds"""" 2 - NYPL Digital Collections.pdf (https://dl.airtable.com/p9mtqkHXTr6XMvcep4YV_%22The%20jazz%20hounds%22%202%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The jazz hounds""""3 - NYPL Digital Collections.pdf (https://dl.airtable.com/kHty30XRJKp5H12PjNL5_%22The%20jazz%20hounds%223%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The jazz hounds"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/kzIfPxVcRUWGDqkcn4pc_%22The%20jazz%20hounds%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The jazz hounds"""" 5 - NYPL Digital Collections.pdf (https://dl.airtable.com/7bAhspNBS1yexcAuh08h_%22The%20jazz%20hounds%22%205%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The jazz hounds"""" 6 - NYPL Digital Collections.pdf (https://dl.airtable.com/DbDQaUyR26u4iHvvptjW_%22The%20jazz%20hounds%22%206%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The jazz hounds"""" 7- NYPL Digital Collections.pdf (https://dl.airtable.com/cicQwRqnRMueQcODckFL_%22The%20jazz%20hounds%22%207-%20NYPL%20Digital%20Collections.pdf)""","""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,http://digitalcollections.nypl.org/items/510d47df-fb5f-a3d9-e040-e00a18064a99,
The Judge's Story,,,,"A young black worker is saved by a judge who in effect repays a debt of gratitude to the young man. The story is told in a flashback by a ""Mammy"" character.",Thanhauser,1/1/11,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Law of Nature,,Drama,,"Cast list comes from Sampson, 31. --MP",Lincoln Motion Picture Company,1/1/17,1/1/17,3,"Johnson,Pickens,Brooks,Everett,Clements,White,Saunders,Richardson",Johnson,Johnson,Gant,,"Richard E. Norman and Race Filmmaking,Blacks in Black and White",,,,
The Law of Nature,,,,"Review in the Chicago Defender, 7/17/17A beautiful eastern society girl is the governess of the children of a wealthy ",Lincoln Motion Picture Company,1/1/17,,,"Johnson,Brooks,Pickens",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Leader of His Race,,,,,Reol Productions Corporation,9/28/21,1/1/22,,,Levy,Levy,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
The Leaders of His Race ,,"Documentary ,Newsreel",,"The life and achievements of Dr. Booker T. Washington, founder and president of Tuskegee, Alabama. ",Reol Productions Corporation,1/1/22,,,Washington ,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Love Bug,,Comedy,,"""Cast: a 425-pound woman and a set of triplets""",Norman Film Manufacturing Company,1/1/19,1/1/20,2,"Mills,Frisbie,Stewart,Johnson",Norman,Norman,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",,,,Norman Film Manufacturing Company
The Lure of a Woman,,,,,"Afro-American Film Company,Progress Picture Producing Assoication",,,3,,Davis,,,,"Slow Fade to Black,George P. Johnson Negro Film Collection",,,,
The Man from Texas,,,,"In Ben Roy Productions folder, box 3, GPJ collection -- MP",Ben Roy Productions,1/1/21,1/1/21,5,,,,,,George P. Johnson Negro Film Collection,,,,
The Man in Ebony ,,,,"B53, F28",T.H.B. Walker's Colored Pictures,,,3,Johnson,,,,,George P. Johnson Negro Film Collection,,,,
The Midnight Ace,,,,"Discussed in Pittsburgh Courier, May 5, 1928.",The Dunbar Company,1/1/28,1/1/28,,"DeComathiere,Kelly,Sutton,Edmondson,Dugas,Brown,Gaytzera,Smith ,Penalver,Day,Cornick,Gibbens","Micheaux,Wade",Micheaux,,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Millionaire,,Drama,,,Micheaux Film Corporation,1/1/27,1/1/28,9,"Smith,Criner,Monagas,Desmond,Edmondson,Bracken,Jacks,Tatum,Abbott,Abbott",,Micheaux,,,"Richard E. Norman and Race Filmmaking,Oscar Micheaux and His Circle",Micheaux,,,
The Minister's Temptation,,,,"Box 4, Bookertee Film Exchange folder, GPJ Collection --MP",Democracy Photoplay Corporation,,,5,,,,,,"George P. Johnson Negro Film Collection,Blacks in Black and White",,,,Bookertee Film Company
The Missing Link,,,,,Warner Brothers,1/1/25,1/1/25,,Baker,,,,,,,,,
The New Era,,,,,Hampton Institute,1/1/15,,,,,"Folsom,Miner",,,,,,,
The Perfect Dreamer,,,,,"Young Producers Filming Corporation,Famous Artist Film Company",1/1/22,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Pickaninny,,,,,Path̩,1/1/21,,,Morison,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Porters,,Newsreel,,,American Mutoscope/Biograph,1/1/03,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Porters,,,,,Ebony Film Corporation,1/1/18,,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company
The Possum Hunt,,Newsreel,,,Edison,1/1/10,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The President's Lady,,,,,,,,,,,,,,George P. Johnson Negro Film Collection,,,,
The Pullman Porter,,,,,Foster Photoplay Company,1/1/13,8/1/13,,Doe,,,,,Envisioning Freedom: Cinema and the Building of Modern Black Life,,,,
The Railroad Porter,,Drama,,,Foster Photoplay Company,1/1/12,1/1/13,,"Lillison,Grady,Brown,Slaughter",,,,,Redefining Black Film,,,,
The Realization of a Negro's Ambition,,,,,Lincoln Motion Picture Company,1/1/16,,2,"Johnson,Brooks,Hall,Boles",Johnson,Johnson,Gant,,"Redefining Black Film,Blacks in Black and White",,,,
The Revue des Revues,,,,French. Sound,,1/1/27,,,"Baker,Dixon,Luquet,de Balzac,Carise,Varna",,Nalpas,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Road to Mandalay,,,,,MGM,1/1/25,1/1/25,,Baker,,,,,,,,,
The Scapegoat,The Scape Goat,,,,Frederick Douglass Film Company,,,,,,,,,"Slow Fade to Black,Blacks in Black and White",,,,
The Scar of Shame,Scar of Shame,Drama,,,Colored Players Film Corporation of Philadelphia,1/1/26,1/1/27,,"Chenault,Howard,Gilpin,Moses,Henderson,McCormack,Johnstone,Pettus,Kennedy",Peregini,,Ligouri,,"Richard E. Norman and Race Filmmaking,Slow Fade to Black,Oscar Micheaux and His Circle",Starkman,,,
The Schemers,,Drama,,,Reol Productions Corporation,1/1/22,8/21/22,6,"Morton,Chenault,Brown,Thomas,Slater,Crosby",Levy,,,"""""""The schemers"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/QFwAm0nRguOxIYJTDOBA_%22The%20schemers%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers""""1 - NYPL Digital Collections.pdf (https://dl.airtable.com/10obEi53SuqlDh5u2qW9_%22The%20schemers%221%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers"""" 2- NYPL Digital Collections.pdf (https://dl.airtable.com/8MpuCIrYSEK5e1hmdfOI_%22The%20schemers%22%202-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers"""" 3 - NYPL Digital Collections.pdf (https://dl.airtable.com/1NcekYB1SASnWNeB3rhG_%22The%20schemers%22%203%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers"""" 4 - NYPL Digital Collections.pdf (https://dl.airtable.com/2ZAmPk3TVOWCrGeEa2Jw_%22The%20schemers%22%204%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers."""" 5- NYPL Digital Collections.pdf (https://dl.airtable.com/dkGNZGNTKuCbEur787xt_%22The%20schemers.%22%205-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers"""" 6 - NYPL Digital Collections.pdf (https://dl.airtable.com/2k279s1TkymBGO3lBC7Q_%22The%20schemers%22%206%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The schemers"""" 7- NYPL Digital Collections.pdf (https://dl.airtable.com/ywnYYIATQPKS5klF3EGx_%22The%20schemers%22%207-%20NYPL%20Digital%20Collections.pdf)""","""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",Blacks in Black and White",,,http://digitalcollections.nypl.org/items/510d47df-fb6f-a3d9-e040-e00a18064a99,
The Sea Beast,,,,,Warner Brothers,1/1/25,1/1/25,,Baker,,,,,,,,,
The Secret Sorrow,Secret Sorrow,Drama,,,Reol Productions Corporation,1/1/21,10/1/21,6,"Morton,Verwayen,Chenault,Brown,Clough,Woodson,Pleasants,Anderson",,,,"""""""The secret sorrow"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/yoPRfKTRTPG6YsIt5Imk_%22The%20secret%20sorrow%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The secret sorrow"""" 1- NYPL Digital Collections.pdf (https://dl.airtable.com/Tm2QUH6ARG2N5p6wZp86_%22The%20secret%20sorrow%22%201-%20NYPL%20Digital%20Collections.pdf)"",""""""The secret sorrow""""2 - NYPL Digital Collections.pdf (https://dl.airtable.com/y3lbTO3OTIugsuAVg2pK_%22The%20secret%20sorrow%222%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The secret sorrow""""4 - NYPL Digital Collections.pdf (https://dl.airtable.com/YrBrRCdITK8zQWgjq19Q_%22The%20secret%20sorrow%224%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The secret sorrow""""5  - NYPL Digital Collections.pdf (https://dl.airtable.com/ieCVA0p9R8WI6koB3CTb_%22The%20secret%20sorrow%225%20%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The secret sorrow""""6 - NYPL Digital Collections.pdf (https://dl.airtable.com/vYTVYAUsSSKa3yZvCFMP_%22The%20secret%20sorrow%226%20-%20NYPL%20Digital%20Collections.pdf)""","Richard E. Norman and Race Filmmaking,""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",Blacks in Black and White",Brown,,http://digitalcollections.nypl.org/items/510d47df-fb76-a3d9-e040-e00a18064a99,
The Seeress,,,,,American Mutoscope/Biograph,1/1/04,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Simp,,,,,Reol Productions Corporation,9/28/21,1/1/21,2,"Dudley,Clough,Morton,Shannon,Verwayen",Levy,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
The Siren of the Tropics,Siren of the Tropics,,,,,1/1/29,,,Baker,,,,,,,,,
The Slacker,The Slaver,Drama,out (15).pdf (https://dl.airtable.com/IMs7bkPSga6oU3NDlrrV_out%20(15).pdf),"""Display Ad 11 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Jun 23, 1917",Peter P. Jones Photoplay Ltd.,1/1/17,,,,Jones,Jones,Jones,,The Documentary Film Reader,,,,
The Snowman,,,,"No date--pre-1910",,1/1/10,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Southern Negro Baptism,,Newsreel,,,Dunbar Film Corporation,1/1/21,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Sport of the Gods,,Drama,,"Sampson gives the release date as 1923, but other sources consistently cite 1921. --MP",Reol Productions Corporation,1/1/21,4/18/21,6,"Boyer,Abrahams,Brown,Brown,Hall,Armour,Walpole,Thomas,Mason,Morton,Chenault,Burris","Vernot,Forrest",Levy,,"""""""The sport of the gods"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/qa0zXG9xTsOsw0HSmJZP_%22The%20sport%20of%20the%20gods%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The sport of the gods""""1 - NYPL Digital Collections.pdf (https://dl.airtable.com/J1qlgmoIStq5qB7Tywot_%22The%20sport%20of%20the%20gods%221%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The sport of the gods""""2 - NYPL Digital Collections.pdf (https://dl.airtable.com/LKZ6wNKQEubsElAWVi2Q_%22The%20sport%20of%20the%20gods%222%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The sport of the gods""""3 - NYPL Digital Collections.pdf (https://dl.airtable.com/roop8OwgQ7uhjfqnLNNT_%22The%20sport%20of%20the%20gods%223%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The sport of the gods""""4 - NYPL Digital Collections.pdf (https://dl.airtable.com/CEpB4D5TOaQLgQUZt4pA_%22The%20sport%20of%20the%20gods%224%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The sport of the gods""""5 - NYPL Digital Collections.pdf (https://dl.airtable.com/HwdIUDaETmlk77erWbQT_%22The%20sport%20of%20the%20gods%225%20-%20NYPL%20Digital%20Collections.pdf)""","Richard E. Norman and Race Filmmaking,""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",""Within Our Gates: Ethnicity in American Feature Films, 1911-1960"",Blacks in Black and White","Muse,Dunbar,Forrest",,http://digitalcollections.nypl.org/items/510d47df-fb7c-a3d9-e040-e00a18064a99,
The Stranger,,"Western,Drama",,"Box 50, folder 3, The Houston Informer, APril 22, 1921",,1/1/21,,,,,,,,George P. Johnson Negro Film Collection,,,,
The Stranger from Way Out Yonder,You Can't Keep a Good Man Down,Comedy,,,Lone Star,1/1/22,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Subpoena Server,,,,,American Mutoscope/Biograph,1/1/06,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Symbol of Sacrifice ,,Drama,,,African Films,1/1/18,,,May,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Symbol of the Unconquered,The Wilderness Trail,Drama,,"Full cast list from Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). Originally 8 reels; shortened to 7 reels due to censors' requests. --MP",Micheaux Film Corporation,1/1/20,1/1/20,8,"Hall,Thompson,Chenault,Catlin,King,Burris,Wilkes,Tatum,Whipper,Burroughs,Fraction,Loach",Micheaux,Micheaux,,,"Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,Oscar Micheaux and His Circle,Blacks in Black and White",Micheaux,,,
The Tale of a Chicken,,Comedy,,,Lubin Manufacturing Company,1/1/14,4/28/14,,"Edwards,Edwards,Rajah,Scott",Lubin,Lubin,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Hotaling,,,
The Tango Queen,,,,,Afro-American Film Company,1/1/16,,,,Haynes,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Thief of Bagdad,,,,,United Art,1/1/24,1/1/24,,Baker,,,,,,,,,
The Trail,,,,,Sidney P. Dones,,,,,,,,,Envisioning Freedom: Cinema and the Building of Modern Black Life,,,,
The Trooper of Company K,Trooper of Troop K,"Western,Drama",,,Lincoln Motion Picture Company,1/1/16,,,"Johnson,Hall,Smith",Johnson,Johnson,Gant,,Redefining Black Film,,,,
The Troubles of Sambo and Dinah,,Comedy,out (18).pdf (https://dl.airtable.com/IteOAOgpQ4qB8P40nJnB_out%20(18).pdf),"""THE STATES."" The Chicago Defender (Big Weekend Edition) (1905-1966), Jun 20, 1914.Kahana gives the date as 1918, but contemporary newspapers advertise a Peter P. Jones film by this name in 1914. --MP",Peter P. Jones Photoplay Ltd.,1/1/14,1/1/14,7,"Marshall ,Fletcher,Lemonier,Riddley,Watson",Jones,Jones,Jones,,The Documentary Film Reader,,,,
The Undertaker's Daughter,,,,,Lubin Manufacturing Company,1/1/15,,,"Edwards,Edwards,Scott",Lubin,Lubin,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Louis,,,
The Virgin of Seminole,,"Drama,Western",,"Two versions, one with 7 reels, one with 5 reels.",Micheaux Film Corporation,5/1/22,1/1/22,7,"Fountaine,Howard",Micheaux,Micheaux,,,Oscar Micheaux and His Circle,Micheaux,,,
The Wages of Sin,,Drama,,,Micheaux Film Corporation,1/1/29,1/1/29,7,"Tucker,Noisette,Birdsong,Russell,Baker,Gibbens,Snelson,Smith,Clayton,Hind,Dabney",Micheaux,Micheaux,,,"American Film Institute Catalog,Oscar Micheaux and His Circle",,,,
The Wife Hunters,,Comedy,,,Lone Star,1/1/22,1/1/22,2,"White,Purty,Townsend,Stevens,Massey,Grant,Walton,Selby",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Witching Eyes,,,,"Richards gives the date as 1930.",Ernest Stern,1/1/29,1/1/29,,"Birdsong,Whitney,Tucker",Stern,Stern,,,"Slow Fade to Black,""Within Our Gates: Ethnicity in American Feature Films, 1911-1960"",""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Stern,,,
The Wooing and Wedding of a Coon,,,,,Biograph,1/1/05,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Wrong Mr. Johnson,,,,,Lone Star,1/1/22,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Young Don't Cry,,,,,,,,,,,,,,George P. Johnson Negro Film Collection,,,,
The Zulu's Heart,,,,,Biograph,1/1/10,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
They Know Their Groceries ,,Comedy,,,Vitaphone,1/1/29,,,Miller and Lyles,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Thirty Years Later,,Drama,,,Micheaux Film Corporation,1/1/28,1/1/28,6,"DeComathiere,Dabney,Carter,Snelson,Ray,Williams,Kelly,Edmondson,Robinson",Micheaux,Micheaux,,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle","Micheaux,Downing",,,
Thirty Years Later,,,,,Micheaux Film Corporation,1/1/28,,,"Dabney,Carter,Ray,Williams,Kelly,Edmondson,Robinson,DeComathiere",Micheaux,Micheaux,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Ties of Blood,,,,,Reol Productions Corporation,8/1/21,9/1/21,,"Clough,Ray,Pleasants",Levy,Levy,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Ties of Blood,,,,,Reol Productions Corporation,1/1/21,,,"Clough,Ray,Pleasants",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Tony's Shirt,,,,,Dunbar Film Corporation,1/1/23,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Toussaint L'Ouverture,,Biography,,"May never have been released ",Blue Ribbon Pictures,1/1/21,,,Muse,Muse,Muse,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Tracks,,,,"Mentioned in Box 2, Associated Negro Pictures Distributors file. --MP",Lincoln Motion Picture Company,,,,Johnson,,,Gant,,George P. Johnson Negro Film Collection,,,,
Trooper of Troop K,Trooper of Company K,Western,,"Also cast ""Mexican soldiers and former Ninth and Tenth U.S. Cavalrymen""",Lincoln Motion Picture Company,1/1/16,,,"Johnson,Hall,Smith",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Tueskegee Finds a Way Out,,Drama,,,Crusader Film Company,1/1/23,1/1/23,7,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Turpin's Real Reels,,Actuality,,,Charles H. Turpin,1/1/16,1/1/16,,,Turpin,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Tuskegee Finds a Qay Out,,Documentary ,,Cast: Tuskegee Institute,Crusader Film Company,1/1/23,,7,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Two Knights of Vaudeville ,,,,,Historical Feature Films,1/1/16,,,"Montgomery,McClain,Murphy,Marshall",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Migrating to the Movies: Cinema and Black Urban Modernity",,,,Ebony Film Corporation
Uncle Jasper's Will,Jasper Landry's Will,Drama,,"Dispute about whether this film was actually produced or exhibited. See filmography in Musser et al., p. 275.",Micheaux Film Corporation,1/1/22,1/1/22,,"Fountaine,Howard",Micheaux,Micheaux,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",,,,
Uncle Jasper's Will,,,,,Micheaux Film Corporation,1/1/22,,,"Fountaine,Howard",Micheaux,Micheaux,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,Micheaux Film Corporation
Uncle Remus' First Visit to New York,,Comedy,,,Hunter C. Haynes Photoplay Company,1/1/14,1/1/14,2,"Jones,Jones,Brown,Harris,Mitchell,Gilliam,Harper,Williams,Morton,Anderson,Anderson",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Uncle Remus' First Visit to New York,,Comedy,,,Hunter C. Haynes Photoplay Company,1/1/14,,2,"Jones,Jones,Brown,Harris,Mitchell,Gilliam,Harper,Williams,Morton,Anderson,Anderson",Haynes,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Uncle Remus's First Visit to New York,,,,,Colored and Indian Film Corporation,,,,,,,,,Slow Fade to Black,,,,
Underworld,,Drama,,,Micheaux Film Corporation,1/1/37,,,,,,,,"""University of Minnesota Libraries, Givens Collection of African American Literature""",,,http://purl.umn.edu/183613,
Undisputed Evidence,,,,,Cotton Blossom Film Corporation,1/1/22,1/1/22,5,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Unknown (Jesus as a man of color),,,,,,1/1/12,,,,,Morris,,,,,,,
Upward Path,,,,,Democracy Photoplay Corporation,1/1/19,1/1/19,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,Bookertee Film Company
Walker Newsreel No. 1,,,,,T.H.B. Walker's Colored Pictures,1/1/21,1/1/21,3,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Watermelon Feast,,,,,American Mutoscope/Biograph,1/1/03,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Way Down South,,,,,American Mutoscope/Biograph,1/1/03,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Welcome Strangers,,,,,,1/1/24,,,Brooks,,,,,Blacks in Black and White,,,,
West Indian Boys Diving for Money,,,,,"""Thomas A. Edison, Inc. """,1/1/1897,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
West Indian Girls in Native Dance,,,,,"""Thomas A. Edison, Inc. """,1/1/1897,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
"Wharf Scenes and Natives Swimming at St. Thomas, D.W.I.",,,,,"""Thomas A. Edison, Inc. """,1/1/1897,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
What Happened in the Tunnel,,,,"no exact year, just pre-1910",,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
What's the Use?,,,,,Township Film Company,1/1/18,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
When Cupid Went Wild,,,,,Ebony Film Corporation,1/1/18,,2,"Starks,Robinson,Jacks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
When Good Luck Comes Our Way,,,,,William Deans,1/1/17,1/1/17,,Deans,,Deans,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
When Good Luck Comes Our Way,,,,,William Deans,1/1/17,,,Deans,,Deans,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
When Men Betray,,Drama,,,Micheaux Film Corporation,1/1/29,1/1/29,6,"Gibbens,Snelson,Tucker,Smith,Russell,Clayton,Noisette",Micheaux,Micheaux,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",Micheaux,,,
When True Love Wins,,Drama,,,Southern Motion Picture Company,1/1/15,1/1/15,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Fisher,,,
"When You Are Scared, Run",,,,,Ebony Film Corporation,1/1/18,,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company
"When You Hit, Hit Hard",,,,,Ebony Film Corporation,1/1/18,,2,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
While Strolling in the Park,,,,"no exact year, just pre-1910",,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Who Said Chicken?,,,,"no exact year, just pre-1910",,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Who's Who,,,,,Lubin Manufacturing Company,1/1/14,,,"Edwards,Edwards",Lubin,Lubin,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Louis,,,
